CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;MEDIA_2_MT;MEDIA_5_MT;MEDIA_9_MT;MEDIA_12_MT;MEDIA_13_MT;MEDIA_14_MT;nivel_0_MT2;nivel_1_MT2;nivel_2_MT2;nivel_3_MT2;nivel_4_MT2;nivel_5_MT2;nivel_6_MT2;nivel_7_MT2;nivel_8_MT2;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9
2;Acre;Pública;Rural;714,93;185,06;229,3;249,69;285,82;252,04;11,41;13,36;15,33;20,43;16,61;8,73;6,95;5,05;2,14;3,99;15,33;25,6;22,42;16,37;9,79;4,75;1,1;0,6;0,06;0;28,65;17,22;20,06;17,95;11,78;3,45;0,79;0,1;0;0
2;Acre;Pública;Total;726,7;204,33;244,82;264,23;287,84;265,42;6,88;12,85;10,2;20,27;17,41;13,34;10,73;5,78;2,54;2,27;8,13;16,87;21,35;20,28;15,88;8,94;3,98;1,85;0,44;0;17,67;15,9;19,47;19,82;16,44;7,71;2,23;0,67;0,08;0
2;Acre;Pública;Urbana;728,95;208,08;249,21;265,62;288,1;266,72;6,01;12,75;9,22;20,24;17,56;14,22;11,45;5,92;2,62;1,93;6,73;15,17;21,15;21,04;17,07;9,75;4,54;2,1;0,52;0;14,56;15,53;19,3;20,35;17,76;8,92;2,64;0,83;0,11;0
2;Acre;Total;Rural;714,93;185,06;229,3;249,69;285,82;252,04;11,41;13,36;15,33;20,43;16,61;8,73;6,95;5,05;2,14;3,99;15,33;25,6;22,42;16,37;9,79;4,75;1,1;0,6;0,06;0;28,65;17,22;20,06;17,95;11,78;3,45;0,79;0,1;0;0
2;Acre;Total;Total;729,51;207,33;247,12;267,31;287,84;268,3;6,54;12,23;9,76;19,55;17,16;13,91;11,12;6,41;3,32;2,13;7,67;15,94;20,64;19,99;16,12;9,56;4,94;2,37;0,61;0,03;17,02;15,34;18,99;19,6;16,62;8,43;2,75;1,02;0,23;0
2;Acre;Total;Urbana;732,11;211,35;251,87;268,9;288,1;269,79;5,67;12,03;8,77;19,39;17,26;14,84;11,86;6,65;3,53;1,79;6,29;14,2;20,32;20,64;17,27;10,43;5,63;2,69;0,71;0,04;13,93;14,84;18,7;20,04;17,9;9,75;3,27;1,27;0,29;0
3;Amazonas;Privada;Rural;;230,87;261,72;285,58;;285,58;;;;;;;;;;0;7,14;0;35,71;0;21,43;7,14;21,43;0;7,14;0;15,38;11,54;3,85;15,38;30,77;15,38;7,69;0;0;0
3;Amazonas;Privada;Total;760,93;245,14;282,38;295,66;;295,66;3,92;0;3,97;16,09;21,1;20,69;13,72;2,26;18,25;0,11;1,86;4,45;10,4;14,66;20,54;21,73;16,03;7,87;2,35;0;5,47;6,56;10,33;19,58;21,19;18,94;10,85;5,63;1,46;0
3;Amazonas;Privada;Urbana;760,93;245,18;282,6;295,8;;295,8;3,92;0;3,97;16,09;21,1;20,69;13,72;2,26;18,25;0,11;1,84;4,46;10,32;14,71;20,53;21,78;16,01;7,9;2,33;0;5,36;6,51;10,4;19,62;21,09;18,98;10,88;5,69;1,47;0
3;Amazonas;Pública;Rural;719,18;177,68;214,17;216,93;283,87;218,02;11,11;9,44;11,31;17,22;16,88;26,12;7,2;0,5;0,22;7,17;20,25;25,73;20,82;13,11;6,66;4,1;1,73;0,32;0,1;0;41,23;20,58;16,67;11,5;6,68;2,39;0,8;0,13;0,02;0
3;Amazonas;Pública;Total;727,97;201,59;239,43;240,73;282,21;241,76;6,01;10,39;12,43;19,22;18,53;16,99;7,1;5,98;3,36;2,95;10,3;18,41;20,65;18,19;13,57;8,52;4,62;1,95;0,81;0,02;22,58;17,23;18,74;17,25;13,21;7,38;2,55;0,78;0,29;0
3;Amazonas;Pública;Urbana;729,2;205,68;244,34;245,77;282;246,74;5,3;10,52;12,59;19,5;18,76;15,72;7,08;6,74;3,79;2,23;8,59;17,16;20,62;19,06;14,75;9,28;5,12;2,23;0,93;0,03;18,95;16,58;19,14;18,37;14,47;8,35;2,89;0,9;0,34;0
3;Amazonas;Total;Rural;719,18;177,77;214,36;217,13;283,87;218,22;11,11;9,44;11,31;17,22;16,88;26,12;7,2;0,5;0,22;7,16;20,23;25,69;20,84;13,09;6,68;4,11;1,76;0,32;0,11;0;41,12;20,54;16,62;11,51;6,78;2,44;0,83;0,13;0,02;0
3;Amazonas;Total;Total;730,92;204,77;241,96;242,75;282,21;243,69;5,82;9,46;11,68;18,94;18,76;17,32;7,69;5,64;4,69;2,75;9,68;17,39;19,9;17,93;14,08;9,49;5,46;2,38;0,92;0,02;21,57;16,6;18,24;17,39;13,68;8,06;3,04;1,06;0,36;0
3;Amazonas;Total;Urbana;732,4;209,01;246,98;247,95;282;248,82;5,16;9,46;11,72;19,16;18,99;16,22;7,75;6,29;5,25;2,05;8,02;16,09;19,75;18,69;15,24;10,33;6,04;2,71;1,05;0,03;18,02;15,88;18,54;18,46;14,93;9,08;3,44;1,23;0,42;0
4;Roraima;Privada;Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Roraima;Privada;Total;778,23;238,61;294,71;311,14;;311,14;0;0,35;2,93;9,46;13,19;16,01;27,38;19,83;10,85;0,32;1,29;6,23;12,04;17,52;20,91;19,71;14,75;6,2;1,02;0;0,49;5,26;7,57;18,59;26,07;17,02;13,49;9,21;2,3;0
4;Roraima;Privada;Urbana;778,23;238,61;294,71;311,14;;311,14;0;0,35;2,93;9,46;13,19;16,01;27,38;19,83;10,85;0,32;1,29;6,23;12,04;17,52;20,91;19,71;14,75;6,2;1,02;0;0,49;5,26;7,57;18,59;26,07;17,02;13,49;9,21;2,3;0
4;Roraima;Pública;Rural;697,93;169,13;205,74;227,15;283,57;232,85;14;21,15;14,3;21,77;17,27;7,88;2,52;1,13;0;6,7;29,69;23,19;21,07;12,26;4,85;1,71;0,52;0;0;0;46,94;22,83;16,96;9,35;2,43;1,5;0;0;0;0
4;Roraima;Pública;Total;738,89;196,88;238,04;254,17;283,57;254,75;8,43;14;9,77;14,56;10,22;8,45;14,14;7,66;12,78;2,94;12,52;18,49;22,02;18,14;13,15;7,27;3,64;1,47;0,37;0;22,42;17,76;18,67;19,01;12,7;6,45;2,18;0,58;0,22;0
4;Roraima;Pública;Urbana;747,36;205,15;246,72;259,99;;259,99;7,27;12,52;8,84;13,07;8,76;8,57;16,54;9,01;15,42;1,81;7,41;17,09;22,31;19,89;15,62;8,93;4,56;1,9;0,48;0;15,82;16,4;19,13;21,61;15,47;7,78;2,76;0,74;0,28;0
4;Roraima;Total;Rural;697,93;169,13;205,74;227,15;283,57;232,85;14;21,15;14,3;21,77;17,27;7,88;2,52;1,13;0;6,7;29,69;23,19;21,07;12,26;4,85;1,71;0,52;0;0;0;46,94;22,83;16,96;9,35;2,43;1,5;0;0;0;0
4;Roraima;Total;Total;741,84;200,72;241,52;256,84;283,57;257,34;7,79;12,97;9,26;14,17;10,44;9,02;15,13;8,57;12,63;2,7;11,49;17,36;21,11;18,08;13,86;8,42;4,66;1,9;0,43;0;21,07;16,99;17,99;18,99;13,53;7,1;2,87;1,11;0,35;0
4;Roraima;Total;Urbana;750,12;209,04;250,4;262,87;;262,87;6,63;11,44;8,31;12,74;9,16;9,23;17,51;9,97;15,01;1,64;6,7;15,83;21,12;19,61;16,23;10,18;5,75;2,4;0,54;0;14,65;15,54;18,24;21,38;16,28;8,49;3,58;1,39;0,44;0
5;Pará;Privada;Rural;755,54;189,81;234,96;272,82;220,74;254,73;0;0;14,29;0;28,57;28,57;14,29;14,29;0;0;7,14;35,71;14,29;35,71;7,14;0;0;0;0;0;22,22;11,11;33,33;33,33;0;0;0;0;0;0
5;Pará;Privada;Total;748,35;230,31;277;300,5;220,74;300,19;4,41;6;6,06;23,87;9,64;18,99;11,97;9,11;9,96;0,5;2,59;5,78;17,58;20,88;20,6;16,26;10,44;2,34;2,52;0,5;5,06;8,44;14,11;18,96;22,23;15,74;10,13;3,93;1,42;0
5;Pará;Privada;Urbana;748,3;230,55;277,28;300,7;;300,7;4,44;6,04;6;24,05;9,49;18,92;11,95;9,07;10,03;0,5;2,56;5,6;17,6;20,79;20,68;16,35;10,5;2,36;2,54;0,51;4,94;8,42;13,98;18,86;22,37;15,84;10,2;3,95;1,43;0
5;Pará;Pública;Rural;718,65;174,41;219;232,88;273,42;233,84;14,71;0,69;26,74;10,5;13,26;19,65;2,37;8,06;4,03;6,96;21,21;27,88;21,62;12,23;5,94;2,68;1,1;0,32;0,08;0;34,91;21,76;20,1;13,4;6,91;2,33;0,51;0,07;0,01;0
5;Pará;Pública;Total;723,55;187,55;232,45;244,59;278,51;246,2;9,18;5,95;19,48;17,68;12,61;19,05;10,71;3,47;1,86;4,19;14,22;23,1;23,39;17,16;10,3;4,94;1,97;0,59;0,12;0;24,09;19,98;21,3;17,47;11,15;4,47;1,14;0,32;0,08;0
5;Pará;Pública;Urbana;724,78;192,82;238;246,26;278,83;247,91;7,8;7,27;17,67;19,47;12,45;18,9;12,79;2,32;1,32;3,08;11,42;21,18;24,11;19,14;12,05;5,85;2,33;0,7;0,14;0;19,62;19,24;21,79;19,15;12,9;5,36;1,4;0,43;0,11;0
5;Pará;Total;Rural;718,83;174,44;219,03;233,08;268,23;233,99;14,64;0,69;26,68;10,45;13,34;19,69;2,43;8,09;4,01;6,95;21,18;27,9;21,6;12,27;5,94;2,68;1,09;0,32;0,07;0;34,88;21,74;20,13;13,45;6,89;2,33;0,51;0,07;0,01;0
5;Pará;Total;Total;726,49;191,49;236,52;248,95;278,13;250,24;8,62;5,96;17,89;18,41;12,26;19,05;10,86;4,14;2,82;3,85;13,15;21,5;22,86;17,5;11,25;5,98;2,75;0,75;0,34;0,05;22,35;18,92;20,64;17,61;12,16;5,5;1,96;0,65;0,2;0
5;Pará;Total;Urbana;728,14;197,49;242,86;251,03;278,83;252,32;7,32;7,09;16;20,13;12,03;18,91;12,67;3,29;2,57;2,76;10,32;19,25;23,3;19,35;13,12;7,15;3,34;0,91;0,44;0,07;17,8;17,9;20,83;19,12;14,07;6,65;2,49;0,86;0,27;0
6;Amapá;Privada;Rural;;;;210,25;;210,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Amapá;Privada;Total;768,53;233,8;280,03;292,2;;292,2;0;2,28;7,46;9,39;10,9;22,4;21,49;20,34;5,74;0,38;1,37;8,24;14,72;18,29;20,76;17,49;12,55;4,61;1,6;0;6,45;7,31;12,2;16,19;21;21,07;9,42;4,97;1,39;0
6;Amapá;Privada;Urbana;768,53;233,8;280,03;299,05;;299,05;0;2,28;7,46;9,39;10,9;22,4;21,49;20,34;5,74;0,38;1,37;8,24;14,72;18,29;20,76;17,49;12,55;4,61;1,6;0;6,45;7,31;12,2;16,19;21;21,07;9,42;4,97;1,39;0
6;Amapá;Pública;Rural;718,59;174,86;215,56;234,09;;234,09;18,37;13,64;14,46;12,51;12,47;5,53;4,27;8,51;10,25;6,55;19,18;29,42;21,79;13,37;5,97;2,65;0,9;0,11;0,05;0;35,58;25,44;19,25;11,8;6,3;1,25;0,3;0;0,07;0
6;Amapá;Pública;Total;716,31;189,5;232,07;249,04;;249,04;13,14;14,15;16,57;15,35;14,66;9,02;6,47;5,24;5,39;3,78;12,63;23,26;23,55;17,67;10,76;5,28;2,33;0,61;0,13;0;22,89;20,82;22,23;18,18;10,77;4,01;0,93;0,15;0,02;0
6;Amapá;Pública;Urbana;715,87;192,85;235,32;251,96;;251,96;12,13;14,25;16,98;15,9;15,09;9,69;6,9;4,62;4,45;3,15;11,13;21,85;23,95;18,65;11,86;5,88;2,66;0,73;0,15;0;20,39;19,91;22,81;19,43;11,65;4,55;1,05;0,18;0,01;0
6;Amapá;Total;Rural;718,59;174,86;215,56;233,01;;233,01;18,37;13,64;14,46;12,51;12,47;5,53;4,27;8,51;10,25;6,55;19,18;29,42;21,79;13,37;5,97;2,65;0,9;0,11;0,05;0;35,58;25,44;19,25;11,8;6,3;1,25;0,3;0;0,07;0
6;Amapá;Total;Total;720,92;193,63;236,01;252,97;;252,97;11,98;13,11;15,77;14,82;14,33;10,2;7,8;6,58;5,42;3,47;11,58;21,86;22,73;17,72;11,7;6,41;3,28;0,98;0,27;0;21,54;19,71;21,4;18,01;11,61;5,42;1,63;0,55;0,13;0
6;Amapá;Total;Urbana;721,33;197,45;239,65;256,65;;256,65;10,87;13,01;15,99;15,22;14,65;11,01;8,41;6,24;4,58;2,84;10,04;20,32;22,92;18,61;12,86;7,18;3,77;1,16;0,31;0;19,04;18,69;21,78;19,12;12,56;6,15;1,86;0,64;0,15;0
7;Tocantins;Privada;Rural;745,61;209,95;;;;;0;8,11;13,51;13,51;21,62;5,41;24,32;5,41;8,11;5,88;5,88;14,71;29,41;8,82;8,82;14,71;8,82;0;2,94;0;;;;;;;;;;
7;Tocantins;Privada;Total;760,77;247,47;294,87;338,96;;338,96;1,71;3,37;4,77;11,9;16,57;20,44;20,31;12,95;7,98;0,35;1,14;4,5;9,26;12,85;21,38;23,42;17,07;6,92;3;0,11;2,98;4,66;8,73;12,17;23,96;22,28;14,11;8,29;2,83;0
7;Tocantins;Privada;Urbana;761,2;248,64;294,87;338,96;;338,96;1,76;3,23;4,52;11,85;16,43;20,87;20,2;13,17;7,97;0,18;0,99;4,18;8,64;12,97;21,77;23,69;17,32;7,14;3;0,12;2,98;4,66;8,73;12,17;23,96;22,28;14,11;8,29;2,83;0
7;Tocantins;Pública;Rural;705,49;181,2;231,54;249,56;266,12;257,87;11,62;24,11;14,77;14,8;14,58;11,68;3,55;2,24;2,65;5,42;16,26;28,09;21,19;15,41;7,69;4,13;1,42;0,29;0,1;0;24,09;20,48;22,37;15,99;10,51;5,24;1,11;0,17;0,05;0
7;Tocantins;Pública;Total;713,91;197,86;245,59;260,88;282,45;262,3;9,56;14,01;20,18;17,29;11,23;12,01;10,98;3,89;0,85;3,26;10,65;19,95;21,47;18,69;12,55;7,64;3,77;1,51;0,5;0,01;18,26;15,87;19,27;18,38;15,23;8,55;3,31;0,88;0,26;0
7;Tocantins;Pública;Urbana;714,41;199,58;246,83;261,32;301,02;262,63;9,44;13,42;20,5;17,44;11,03;12,03;11,42;3,99;0,74;3,03;10,07;19,11;21,49;19,03;13,06;8;4,01;1,64;0,54;0,01;17,75;15,46;19;18,59;15,65;8,84;3,5;0,94;0,27;0
7;Tocantins;Total;Rural;707,94;182,12;231,54;249,56;266,12;257,87;10,91;23,13;14,69;14,72;15,01;11,3;4,82;2,44;2,98;5,43;15,93;27,66;21,45;15,21;7,73;4,46;1,66;0,28;0,19;0;24,09;20,48;22,37;15,99;10,51;5,24;1,11;0,17;0,05;0
7;Tocantins;Total;Total;719,31;202,46;248,63;265,37;282,45;266,43;8,65;12,79;18,4;16,67;11,85;12,98;12,06;4,93;1,67;2,99;9,77;18,52;20,33;18,15;13,37;9,1;5;2,01;0,73;0,02;17,32;15,18;18,62;17,99;15,77;9,39;3,97;1,34;0,42;0
7;Tocantins;Total;Urbana;719,94;204,42;250,04;265,95;301,02;267,04;8,53;12,21;18,61;16,78;11,67;13,07;12,46;5,07;1,59;2,75;9,17;17,64;20,23;18,44;13,92;9,55;5,33;2,18;0,79;0,02;16,76;14,74;18,31;18,16;16,21;9,74;4,21;1,43;0,45;0
8;Maranhão;Privada;Rural;768,57;221,01;258,62;302,89;223,01;246,96;0;0;8,62;8,62;10,34;37,96;15,53;5,15;13,77;1,12;4,77;4,77;21,48;20,46;24,91;17,36;3,64;1,12;0,37;0;13,71;13,03;17,62;16,52;15,87;15,27;3,99;3,62;0,37;0
8;Maranhão;Privada;Total;754,83;231,16;275,84;300,34;223,01;294,14;2,06;4,64;8,22;8,35;23,29;16,93;18,49;11,65;6,38;0,04;2,92;6,08;15,27;21,21;20,92;17,11;10,5;3,51;2,44;0;5,27;8,02;15,31;19,43;21,87;15,57;9,11;3,89;1,52;0
8;Maranhão;Privada;Urbana;754,07;231,58;276,52;300,24;;300,24;2,17;4,89;8,2;8,33;24;15,78;18,65;12;5,97;0;2,84;6,14;15,01;21,24;20,76;17,09;10,78;3,61;2,53;0;4,94;7,82;15,22;19,55;22,1;15,58;9,31;3,9;1,56;0
8;Maranhão;Pública;Rural;726,8;179,05;213,58;225,1;272,61;229,47;8,44;12,18;12,16;10,53;20,47;14,89;14;5,54;1,79;5,6;19,09;26,64;22,27;13,55;7,28;3,65;1,35;0,47;0,1;0;42,12;20,51;16,62;11,42;6,27;2,18;0,69;0,16;0,03;0
8;Maranhão;Pública;Total;716,97;186,51;225,09;241,33;291,87;244,32;15,11;8,8;16,19;16,48;12,67;14,13;8,6;5,25;2,78;4,33;15,25;23,98;22,91;16,03;9,55;4,89;2,1;0,73;0,22;0,01;32,39;19,76;18,35;14,32;9,25;4,13;1,3;0,4;0,09;0
8;Maranhão;Pública;Urbana;713,45;189,87;230,44;244,09;297,74;246,95;17,49;7,59;17,63;18,61;9,88;13,86;6,66;5,14;3,14;3,76;13,52;22,78;23,2;17,15;10,57;5,44;2,44;0,84;0,28;0,01;27,88;19,42;19,15;15,67;10,63;5,04;1,58;0,51;0,12;0
8;Maranhão;Total;Rural;728,43;179,79;214,06;226,13;260,88;230,15;8,11;11,71;12,03;10,45;20,07;15,79;14,06;5,52;2,25;5,52;18,84;26,25;22,25;13,67;7,59;3,89;1,39;0,48;0,1;0;41,82;20,43;16,63;11,48;6,37;2,32;0,72;0,2;0,04;0
8;Maranhão;Total;Total;723,39;192,02;229,3;244,26;287,22;246,85;12,89;8,09;14,84;15,1;14,47;14,61;10,27;6,33;3,39;3,8;13,72;21,77;21,97;16,67;10,96;6,4;3,14;1,07;0,5;0;30,14;18,79;18,1;14,75;10,3;5,08;1,94;0,69;0,21;0
8;Maranhão;Total;Urbana;721,91;196,71;235,65;247,21;297,74;249,76;14,3;7,03;15,66;16,47;12,82;14,26;9,16;6,57;3,73;3,15;11,76;20,05;21,86;17,82;12,25;7,36;3,81;1,29;0,65;0,01;25,28;18,11;18,71;16,11;11,93;6,23;2,45;0,9;0,28;0
9;Piauí;Privada;Rural;;;255,26;252,76;;252,76;;;;;;;;;;;;;;;;;;;;;11,54;3,85;26,92;26,92;19,23;7,69;3,85;0;0;0
9;Piauí;Privada;Total;776,94;248,11;296,44;338,9;;338,9;0;0;2,92;11,66;21,58;5,54;9,53;43,11;5,65;0,36;1,35;3,86;8,98;16,64;18,99;20,71;16,88;9,15;3,09;0;3,44;4,49;8,85;15,11;19,41;20,91;14,43;8,09;5,28;0
9;Piauí;Privada;Urbana;776,94;248,11;296,64;339,3;;339,3;0;0;2,92;11,66;21,58;5,54;9,53;43,11;5,65;0,36;1,35;3,86;8,98;16,64;18,99;20,71;16,88;9,15;3,09;0;3,4;4,49;8,76;15,06;19,41;20,97;14,48;8,13;5,31;0
9;Piauí;Pública;Rural;732,49;186,97;232,73;234,37;256,32;241,53;12,46;12,55;9,29;10,15;21,07;8,93;9,58;8,01;7,96;4,26;15,4;24,05;22,13;16,26;9,07;5,44;2,44;0,72;0,23;0,01;25,73;19,14;19,65;16,23;11,72;5,01;1,9;0,44;0,18;0
9;Piauí;Pública;Total;723,17;198,08;243,59;254,95;274,48;258,6;11,02;13,19;7,5;18,4;16,59;19,11;8,71;2,96;2,53;2,9;11,12;19,85;21,34;18,22;13,11;7,79;3,81;1,43;0,42;0,01;19,85;16,24;18,83;18,14;14,64;8,19;2,87;0,89;0,35;0
9;Piauí;Pública;Urbana;720,77;201,9;247,1;256,21;277;259,88;10,66;13,35;7,03;20,52;15,43;21,73;8,48;1,66;1,14;2,42;9,64;18,4;21,07;18,89;14,5;8,6;4,28;1,68;0,49;0,01;17,95;15,3;18,57;18,76;15,58;9,21;3,19;1,04;0,4;0
9;Piauí;Total;Rural;732,49;186,97;232,79;234,59;256,32;241,62;12,46;12,55;9,29;10,15;21,07;8,93;9,58;8,01;7,96;4,26;15,4;24,05;22,13;16,26;9,07;5,44;2,44;0,72;0,23;0,01;25,69;19,1;19,67;16,26;11,75;5,02;1,91;0,44;0,18;0
9;Piauí;Total;Total;731,03;204,76;250,21;265,94;274,48;267,36;9,41;11,26;6,83;17,41;17,32;17,13;8,83;8,83;2,99;2,56;9,81;17,71;19,69;18,01;13,89;9,52;5,55;2,46;0,78;0,01;17,8;14,76;17,58;17,76;15,24;9,78;4,32;1,79;0,97;0
9;Piauí;Total;Urbana;730,72;209,84;254,96;267,61;277;269,08;8,77;10,99;6,31;18,95;16,52;18,86;8,66;9,01;1,94;2,07;8,22;15,9;19;18,5;15,27;10,68;6,44;2,96;0,94;0,01;15,64;13,58;17,01;18,17;16,19;11,08;4,98;2,16;1,18;0
10;Ceará;Privada;Rural;795,49;245,43;277,7;;275,83;275,83;0;0;0;8,33;0;25;16,67;25;25;0;0;4,55;9,09;27,27;4,55;40,91;0;13,64;0;0;0;10;20;10;20;40;0;0;0;0
10;Ceará;Privada;Total;754,18;251,88;288,97;321,48;275,83;321,37;0;2,38;11,89;14,28;14,27;26,19;11,91;9,54;9,54;0;0,45;2,5;10,75;17,75;15,85;21,86;17,25;10,15;3,44;0;3,5;6,38;9,68;16,7;20,32;21,74;11,81;7,69;2,18;0
10;Ceará;Privada;Urbana;754,13;251,89;288,97;321,48;;321,48;0;2,38;11,9;14,29;14,29;26,19;11,9;9,52;9,52;0;0,45;2,5;10,75;17,74;15,86;21,84;17,27;10,14;3,44;0;3,51;6,38;9,67;16,71;20,32;21,73;11,82;7,69;2,18;0
10;Ceará;Pública;Rural;726,43;219,74;258,92;259,26;293,33;265,58;5,4;16,01;18,88;18,6;8,28;3,02;18,78;8,08;2,95;1,88;7,08;13,76;17,02;16,98;14,96;11,21;8,03;5,06;3,84;0,17;16,27;12,24;15,25;16,74;16,37;10,94;6,41;3,88;1,89;0
10;Ceará;Pública;Total;749,06;219,93;258,54;262,88;310,04;271,63;4,26;7,16;9,12;12,97;14,93;16,01;16,46;11,87;7,22;1,57;6,25;12,98;17,47;18,51;15,75;11,82;7,69;4,51;3,26;0,19;14,43;12,57;16,18;18,1;17,2;11,55;5,66;2,83;1,48;0
10;Ceará;Pública;Urbana;755,3;219,98;258,43;263,11;311,08;272,01;3,94;4,72;6,43;11,42;16,76;19,59;15,81;12,92;8,4;1,48;6;12,75;17,61;18,97;15,99;12;7,58;4,34;3,09;0,19;13,93;12,66;16,43;18,47;17,43;11,72;5,45;2,55;1,37;0
10;Ceará;Total;Rural;726,47;219,77;258,93;259,26;293;265,62;5,4;16;18,87;18,59;8,28;3,03;18,78;8,09;2,96;1,88;7,07;13,75;17,02;16,99;14,95;11,24;8,02;5,07;3,84;0,17;16,27;12,24;15,25;16,74;16,37;10,95;6,41;3,88;1,89;0
10;Ceará;Total;Total;749,63;225,8;262,91;268,7;310;275,73;3,78;6,63;9,43;13,12;14,85;17,15;15,95;11,61;7,48;1,28;5,18;11,06;16,24;18,37;15,77;13,67;9,45;5,54;3,3;0,15;12,86;11,68;15,24;17,9;17,65;13,02;6,54;3,53;1,58;0
10;Ceará;Total;Urbana;755,14;227,21;263,81;269,22;311,08;276,31;3,4;4,4;7,18;11,82;16,42;20,5;15,28;12,45;8,55;1,14;4,74;10,43;16,06;18,69;15,96;14,23;9,78;5,65;3,17;0,15;12,09;11,55;15,24;18,16;17,94;13,48;6,58;3,45;1,51;0
11;Rio Grande do Norte;Privada;Rural;764,26;198,87;269,26;275,24;;275,24;0;0;0;33,33;6,67;13,33;20;13,33;13,33;0;13,04;13,04;34,78;13,04;4,35;17,39;4,35;0;0;0;3,57;21,43;14,29;10,71;25;14,29;10,71;0;0;0
11;Rio Grande do Norte;Privada;Total;753;238,54;285,82;306,1;;306,1;0;3,88;7,76;9,53;28,16;21,92;14,22;6,08;8,46;0,22;1,66;5,92;11,81;19,65;22,73;15,38;13,84;6,19;2,48;0,11;4,6;6,04;11,65;17,21;21,36;18,99;10,85;6,95;2,34;0
11;Rio Grande do Norte;Privada;Urbana;752,91;238,89;285,87;306,21;;306,21;0;3,91;7,82;9,34;28,33;21,99;14,17;6,02;8,42;0,23;1,56;5,86;11,61;19,71;22,89;15,36;13,92;6,24;2,5;0,12;4,6;5,99;11,64;17,23;21,35;19,01;10,85;6,98;2,35;0
11;Rio Grande do Norte;Pública;Rural;711,27;177,63;229,57;237,21;324,53;266,29;14,23;8,82;18,12;23,13;14,79;6,52;11,21;0,32;2,86;8,09;18,18;24,67;22,67;13,91;7,63;3,4;1,1;0,29;0,06;0;25,48;20,61;20,82;17,41;11;3,76;0,77;0,12;0,04;0
11;Rio Grande do Norte;Pública;Total;711,07;187,64;238,18;250,54;315,36;264,74;7,17;13,75;24,53;19,58;16,94;6,94;7,59;1,33;2,16;5,7;14,26;21,92;21,89;16,97;10,91;5,52;2,16;0,53;0,13;0,01;21,03;17,89;20,83;18,4;13,47;6,4;1,5;0,36;0,12;0
11;Rio Grande do Norte;Pública;Urbana;711,02;190,17;239,58;250,99;314,79;264,67;5,68;14,79;25,88;18,83;17,39;7,03;6,83;1,54;2,02;5,09;13,27;21,22;21,69;17,75;11,74;6,06;2,43;0,59;0,15;0,01;20,3;17,45;20,84;18,56;13,87;6,83;1,61;0,4;0,13;0
11;Rio Grande do Norte;Total;Rural;712,1;177,86;229,79;237,83;324,53;266,39;14,01;8,68;17,84;23,29;14,66;6,63;11,35;0,52;3,03;8;18,13;24,55;22,8;13,91;7,59;3,55;1,13;0,29;0,06;0;25,36;20,61;20,78;17,37;11,07;3,82;0,83;0,12;0,04;0
11;Rio Grande do Norte;Total;Total;721,73;197,94;247,21;257,95;315,36;269,18;5,35;11,24;20,27;17,02;19,79;10,75;9,27;2,54;3,76;4,59;11,71;18,68;19,85;17,52;13,3;7,52;4,53;1,67;0,61;0,03;17,91;15,64;19,09;18,18;14,97;8,79;3,27;1,61;0,54;0
11;Rio Grande do Norte;Total;Urbana;723,19;201,84;249,45;258,56;314,79;269,28;4,03;11,63;20,64;16,07;20,57;11,38;8,96;2,84;3,88;3,93;10,46;17,54;19,28;18,22;14,41;8,29;5,19;1,94;0,72;0,03;16,95;15;18,88;18,28;15,47;9,43;3,58;1,8;0,6;0
12;Paraíba;Privada;Rural;749,12;221,79;256,3;;;;0;0;3,13;28,13;25;25;6,25;12,5;0;0;3,57;17,86;7,14;21,43;28,57;7,14;14,29;0;0;0;4,55;13,64;22,73;36,36;9,09;9,09;4,55;0;0;0
12;Paraíba;Privada;Total;753,55;241,39;280,85;304,45;;304,45;1,75;3,29;3,63;19,61;15,02;25,06;20,62;8,16;2,87;0,53;0,71;3,83;10,36;18,96;24,22;20,14;15,56;3,49;2,02;0,18;6,03;7,3;12,25;16,38;22,42;19,06;9,27;4,85;2,44;0
12;Paraíba;Privada;Urbana;753,57;241,44;280,92;304,45;;304,45;1,75;3,3;3,63;19,57;14,99;25,06;20,67;8,14;2,88;0,53;0,7;3,79;10,36;18,96;24,21;20,18;15,57;3,5;2,02;0,19;6,03;7,28;12,22;16,33;22,45;19,08;9,28;4,87;2,45;0
12;Paraíba;Pública;Rural;715,74;189,77;232,27;241,08;277,37;249,7;11,07;15,24;12,07;12,27;23,3;13,09;9,12;3,83;0;4,09;15,12;22,84;20,99;15,83;11,12;5,75;3,05;0,87;0,33;0;26,11;17,99;20,44;17,54;10,46;5,54;1,46;0,37;0,08;0
